Story,Pier,CaseCombo,Location,P,V2,V3,T,M2,M3
T2,C40,EULS Min,4.17,-1221.137073049141,-25.049503563279536,-48.213044076037804,-0.5898446525726686,-16.130630453176405,-1.126901622386523
T2,C41,EULS Max,0,-2347.2204714922796,22.525221450969198,11.68128749622634,0.48302194881150945,82.80088070536554,58.40886282848946
T2,C41,EULS Max,2.085,-2335.9746933112797,22.525221450969198,11.68128749622634,0.48302194881150945,63.07319908065918,11.443776103218683
T2,C41,EULS Max,4.17,-2324.72891513028,22.525221450969198,11.68128749622634,0.48302194881150945,172.98237670500353,29.567345989220843
T2,C41,EULS Min,0,-3040.9758622998224,-19.278503808880608,-84.30994499887026,-0.5898446525726686,-178.5900939402855,-50.82401489381128
T2,C41,EULS Min,2.085,-3029.7300841188226,-19.278503808880608,-84.30994499887026,-0.5898446525726686,-14.751334500155451,-10.628334452295219
T2,C41,EULS Min,4.17,-3018.4843059378227,-19.278503808880608,-84.30994499887026,-0.5898446525726686,34.08991184610173,-35.5213106220521
T2,C42,EULS Max,0,-1532.2481154736988,23.20704945627454,28.780081700792902,0.48302194881150945,105.02397734674048,59.41996830352782
T2,C42,EULS Max,2.085,-1521.0023372926987,23.20704945627454,28.780081700792902,0.48302194881150945,45.01750700058728,11.0332701871954
T2,C42,EULS Max,4.17,-1509.7565591116988,23.20704945627454,28.780081700792902,0.48302194881150945,97.63954133360417,25.371979712329658
T2,C42,EULS Min,0,-2122.0663108837625,-17.71718554119316,-55.8938984645563,-0.5898446525726686,-141.16081206575402,-48.508683994445825
T2,C42,EULS Min,2.085,-2110.8205327027626,-17.71718554119316,-55.8938984645563,-0.5898446525726686,-24.62203376715413,-11.56835214105808
T2,C42,EULS Min,4.17,-2099.5747545217628,-17.71718554119316,-55.8938984645563,-0.5898446525726686,-14.98896334556592,-38.36153740885353
T2,C43,EULS Max,0,-672.8727980672229,23.41511932675098,32.71505402446683,0.48302194881150945,107.8523764660786,59.728522049622526
T2,C43,EULS Max,2.085,-661.6270198862229,23.41511932675098,32.71505402446683,0.48302194881150945,39.64148882506524,10.907998253346737
T2,C43,EULS Max,4.17,-650.3812417052229,23.41511932675098,32.71505402446683,0.48302194881150945,57.711530351661054,7.2599134047915665
T2,C43,EULS Min,0,-1041.2681337939428,-10.976725203489256,-42.30800620925013,-0.5898446525726686,-118.71285554091199,-38.51303069375864
T2,C43,EULS Min,2.085,-1030.0223556129426,-10.976725203489256,-42.30800620925013,-0.5898446525726686,-30.500662594625464,-15.626558644483538
T2,C43,EULS Min,4.17,-1018.7765774319427,-10.976725203489256,-42.30800620925013,-0.5898446525726686,-28.5693988159481,-37.91252554292905
T2,C44,EULS Max,0,-4557.983139763232,2.8613265593414603,86.42087334740013,0.8475214168585542,313.24185841185425,40.93780506517683
T2,C44,EULS Max,2.085,-4542.239050309832,2.8613265593414603,86.42087334740013,0.8475214168585542,133.054337482525,40.193711388551954
T2,C44,EULS Max,4.17,-4526.494960856432,2.8613265593414603,86.42087334740013,0.8475214168585542,188.2309085502635,135.123930883271
T2,C44,EULS Min,0,-5653.495959803409,-60.76974974231623,-129.35776717964,-1.0349549889086076,-361.9950468758016,-118.28592554218767
